date,open,high,low,close,volume
2015-06-02,7451.596,7624.8,7408.795,7624.019,98704857600
2015-06-03,7665.325,7691.43,7468.328,7643.012,98878732800
2015-06-04,7650.894,7679.394,7189.755,7655.224,104622560000
2015-06-05,7763.039,7823.481,7576.568,7748.374,118738470400
2015-06-08,7766.505,7778.886,7610.076,7755.742,124523417600
2015-06-09,7755.997,7796.605,7629.379,7731.525,105264435200
2015-06-10,7667.53,7897.109,7600.197,7813.588,92737580800
2015-06-11,7814.78,7892.235,7767.81,7891.567,89081196800
2015-06-12,7927.391,8017.382,7897.0,7984.428,98236806400
2015-06-15,8012.072,8018.938,7811.418,7830.236,101652300800
2015-06-16,7740.051,7748.184,7480.391,7549.981,88129939200
2015-06-17,7545.868,7709.646,7334.108,7686.794,82662572800
2015-06-18,7662.699,7702.746,7404.788,7411.905,77587417600
2015-06-19,7252.272,7331.228,6939.896,6943.037,72318406400
2015-06-23,6927.049,7049.026,6572.386,7048.74,74629907200
2015-06-24,7102.392,7196.053,6989.816,7195.775,85191123200
2015-06-25,7224.903,7237.389,6855.779,6932.388,88136793600
2015-06-26,6711.651,6746.021,6331.78,6377.069,82038124800
2015-06-29,6513.026,6519.879,5874.536,6044.155,98731360000
2015-06-30,5927.895,6379.31,5693.215,6374.83,105823116800
2015-07-01,6294.82,6482.665,6019.175,6038.686,89422835200
2015-07-02,6033.598,6064.558,5638.613,5725.834,86852876800
2015-07-03,5535.23,5780.628,5294.276,5390.684,83161081600
2015-07-06,5789.068,5789.068,5175.199,5353.864,118355123200
2015-07-07,5171.224,5230.356,5022.713,5145.506,90878803200
2015-07-08,4859.065,4968.295,4832.772,4900.421,97690995200
2015-07-09,4829.345,5166.03,4789.568,5144.134,80873081600
2015-07-10,5211.385,5434.987,5188.121,5386.216,70581625600
2015-07-13,5505.608,5643.352,5448.406,5598.64,83180204800
2015-07-14,5649.465,5770.787,5549.786,5610.202,90432780800
2015-07-15,5592.371,5614.119,5324.391,5375.376,91122156800
